1,קניון,20,dhd,2025,תל אביב יפו,כרם,0.02
2,רכבת,40,dhd,2026,תל אביב יפו,רמת אביב החדשה,0.05
3,בית-ספר,30,dhd,2027,תל אביב יפו,הצפון הישן,0.03
4,בית-ספר,100,dhd,2026,תל אביב יפו,סי אן סן,0.03
5,רכבת,70,dhd,2028,תל אביב יפו,TLV,0.05
6,קניון,100,dhd,2028,תל אביב יפו,לב העיר,0.04
7,אוניברסיטה,80,dhd,2029,תל אביב יפו,מרכז,0.1
8,קניון,20,dhd,2025,תל אביב יפו,רמת אביב ג,0.02
9,רכבת,40,dhd,2026,תל אביב יפו,צהלה,0.05
10,בית-ספר,30,dhd,2027,תל אביב יפו,בני דן,0.03
11,בית-ספר,100,dhd,2026,תל אביב יפו,הצפון הישן,0.03
12,רכבת,70,dhd,2028,תל אביב יפו,הירקון השקט,0.05
13,קניון,100,dhd,2028,תל אביב יפו,לב תל אביב,0.04
14,אוניברסיטה,80,dhd,2029,תל אביב יפו,לב העיר,0.1
15,קניון,20,dhd,2025,תל אביב יפו,פלורנטין,0.02
16,רכבת,40,dhd,2026,תל אביב יפו,נופי ים,0.05
17,בית-ספר,30,dhd,2027,תל אביב יפו,רמת הנשיא,0.03
18,בית-ספר,100,dhd,2026,תל אביב יפו,רמת אילן,0.03
19,רכבת,70,dhd,2028,תל אביב יפו,המשתלה,0.05
20,קניון,100,dhd,2028,תל אביב יפו,יד אליהו,0.04
21,אוניברסיטה,80,dhd,2029,תל אביב יפו,מרכז,0.1
22,קניון,20,dhd,2025,תל אביב יפו,גני שרונה,0.02
23,רכבת,40,dhd,2026,תל אביב יפו,ביצרון,0.05
24,בית-ספר,30,dhd,2027,תל אביב יפו,הרכבת,0.03
25,בית-ספר,100,dhd,2026,תל אביב יפו,גן ורשא,0.03
26,רכבת,70,dhd,2028,תל אביב יפו,קרית משה,0.05
27,קניון,100,dhd,2028,תל אביב יפו,הצפון הישן,0.04
28,אוניברסיטה,80,dhd,2029,תל אביב יפו,פרדס כץ,0.1
29,קניון,20,dhd,2025,תל אביב יפו,פרדס כץ,0.02
30,רכבת,40,dhd,2026,תל אביב יפו,לב העיר,0.05
31,בית-ספר,30,dhd,2027,תל אביב יפו,נווה שרת,0.03
32,בית-ספר,100,dhd,2026,תל אביב יפו,רביבים,0.03
33,רכבת,70,dhd,2028,תל אביב יפו,ויז'ניץ,0.05
34,קניון,100,dhd,2028,תל אביב יפו,מרכז העיר,0.04
35,אוניברסיטה,80,dhd,2029,תל אביב יפו,ברוריה,0.1
36,קניון,20,dhd,2025,תל אביב יפו,ברוריה,0.02
37,רכבת,40,dhd,2026,תל אביב יפו,גבעת רוקח,0.05
38,בית-ספר,30,dhd,2027,תל אביב יפו,קרית בן גוריון,0.03
39,בית-ספר,100,dhd,2026,תל אביב יפו,רמת אביב הירוקה,0.03
40,רכבת,70,dhd,2028,תל אביב יפו,לב העיר,0.05
41,קניון,100,dhd,2028,תל אביב יפו,שרת,0.04
42,אוניברסיטה,80,dhd,2029,תל אביב יפו,יפו ד` - גבעת התמרים,0.1
43,קניון,20,dhd,2025,תל אביב יפו,הצפון הישן,0.02
44,רכבת,40,dhd,2026,תל אביב יפו,אזור ככר המדינה,0.05
45,בית-ספר,30,dhd,2027,תל אביב יפו,ג'סי כהן,0.03
46,בית-ספר,100,dhd,2026,תל אביב יפו,הצפון הישן,0.03
47,רכבת,70,dhd,2028,תל אביב יפו,נווה אביבים,0.05
48,קניון,100,dhd,2028,תל אביב יפו,לב העיר,0.04
49,אוניברסיטה,80,dhd,2029,תל אביב יפו,כוכב הצפון,0.1
50,קניון,20,dhd,2025,תל אביב יפו,פי גלילות,0.02
51,רכבת,40,dhd,2026,תל אביב יפו,לב העיר,0.05
52,בית-ספר,30,dhd,2027,תל אביב יפו,שכונת התקווה,0.03
53,בית-ספר,100,dhd,2026,תל אביב יפו,שכונת התקווה,0.03
54,רכבת,70,dhd,2028,תל אביב יפו,הצפון הישן,0.05
55,קניון,100,dhd,2028,תל אביב יפו,נהריה הירוקה,0.04
56,אוניברסיטה,80,dhd,2029,תל אביב יפו,לב העיר,0.1
57,קניון,20,dhd,2025,תל אביב יפו,גורדון,0.02
58,רכבת,40,dhd,2026,תל אביב יפו,תל אביב צפון,0.05
59,בית-ספר,30,dhd,2027,תל אביב יפו,הצפון הישן,0.03
60,בית-ספר,100,dhd,2026,תל אביב יפו,טיילת,0.03
61,רכבת,70,dhd,2028,תל אביב יפו,צפון תל אביב,0.05
62,קניון,100,dhd,2028,תל אביב יפו,הצפון הישן,0.04
63,אוניברסיטה,80,dhd,2029,תל אביב יפו,הצפון הישן,0.1
64,קניון,20,dhd,2025,תל אביב יפו,כרם התימנים,0.02
65,רכבת,40,dhd,2026,תל אביב יפו,הצפון הישן,0.05
66,בית-ספר,30,dhd,2027,תל אביב יפו,קרית האומנים - מצליח,0.03
67,בית-ספר,100,dhd,2026,תל אביב יפו,נווה צדק,0.03
68,רכבת,70,dhd,2028,תל אביב יפו,נוה צדק,0.05
69,קניון,100,dhd,2028,תל אביב יפו,לב העיר,0.04
70,אוניברסיטה,80,dhd,2029,תל אביב יפו,הצפון הישן,0.1
71,קניון,20,dhd,2025,תל אביב יפו,לב העיר,0.02
72,רכבת,40,dhd,2026,תל אביב יפו,נוה שאנן,0.05
73,בית-ספר,30,dhd,2027,תל אביב יפו,לב העיר,0.03
74,בית-ספר,100,dhd,2026,תל אביב יפו,לב העיר,0.03
75,רכבת,70,dhd,2028,תל אביב יפו,רמת אביב ג,0.05
76,קניון,100,dhd,2028,תל אביב יפו,כוכב הצפון,0.04
77,אוניברסיטה,80,dhd,2029,תל אביב יפו,תל גיבורים,0.1
78,קניון,20,dhd,2025,תל אביב יפו,פלורנטין,0.02
79,רכבת,40,dhd,2026,תל אביב יפו,גני שרונה,0.05
80,בית-ספר,30,dhd,2027,תל אביב יפו,לב תל אביב,0.03
81,בית-ספר,100,dhd,2026,תל אביב יפו,מרכז,0.03
82,רכבת,70,dhd,2028,תל אביב יפו,יהודה קן דרור,0.05
83,קניון,100,dhd,2028,תל אביב יפו,פלורנטין,0.04
84,אוניברסיטה,80,dhd,2029,תל אביב יפו,הר שלום,0.1
85,קניון,20,dhd,2025,תל אביב יפו,נווה עופר - תל כביר,0.02
86,רכבת,40,dhd,2026,תל אביב יפו,לב העיר,0.05
87,בית-ספר,30,dhd,2027,תל אביב יפו,קרית הרצוג,0.03
88,בית-ספר,100,dhd,2026,תל אביב יפו,לב העיר,0.03
89,רכבת,70,dhd,2028,תל אביב יפו,הצפון הישן,0.07
90,קניון,100,dhd,2028,תל אביב יפו,גני שרונה,0.04
91,אוניברסיטה,80,dhd,2029,תל אביב יפו,נחלת יצחק,0.1
92,קניון,20,dhd,2025,תל אביב יפו,המשתלה,0.02
93,רכבת,40,dhd,2026,תל אביב יפו,חי,0.05
94,בית-ספר,30,dhd,2027,תל אביב יפו,בני דן,0.03
95,בית-ספר,100,dhd,2026,תל אביב יפו,מגורים,0.03
96,רכבת,70,dhd,2028,תל אביב יפו,8,0.05
97,קניון,100,dhd,2028,תל אביב יפו,יד אליהו,0.04
98,אוניברסיטה,80,dhd,2029,תל אביב יפו,מרכז,0.1
99,קניון,20,dhd,2025,תל אביב יפו,מרכז,0.02
100,רכבת,40,dhd,2026,תל אביב יפו,הצפון הישן,0.05
101,בית-ספר,30,dhd,2027,תל אביב יפו,פלורנ,0.03
102,בית-ספר,100,dhd,2026,תל אביב יפו,Old North,0.03
103,רכבת,70,dhd,2028,תל אביב יפו,קרול,0.05
104,קניון,100,dhd,2028,תל אביב יפו,סטנס,0.04
105,אוניברסיטה,80,dhd,2029,תל אביב יפו,לב העיר,0.1
106,קניון,20,dhd,2025,תל אביב יפו,לב העיר,0.02
107,רכבת,40,dhd,2026,תל אביב יפו,פורייה - נווה עובד,0.05
108,בית-ספר,30,dhd,2027,תל אביב יפו,קרית אונו הותיקה,0.03
109,בית-ספר,100,dhd,2026,תל אביב יפו,הגוש הגדול,0.03
110,רכבת,70,dhd,2028,תל אביב יפו,רמת אביב החדשה,0.05
111,קניון,100,dhd,2028,תל אביב יפו,מרכז,0.04
112,אוניברסיטה,80,dhd,2029,תל אביב יפו,גבעת סוקולוב,0.1
113,קניון,20,dhd,2025,תל אביב יפו,גבעת סוקולוב,0.02
114,רכבת,40,dhd,2026,תל אביב יפו,שיכון ההסתדרות,0.05
115,בית-ספר,30,dhd,2027,תל אביב יפו,לב העיר,0.03
116,בית-ספר,100,dhd,2026,תל אביב יפו,מרכז,0.03
117,רכבת,70,dhd,2028,תל אביב יפו,מדרחוב בצלאל,0.05
118,קניון,100,dhd,2028,תל אביב יפו,מתחם פארק צמרת,0.04
119,אוניברסיטה,80,dhd,2029,תל אביב יפו,פרדס בחסכון,0.1
120,קניון,20,dhd,2025,תל אביב יפו,ההסתדרות,0.02
121,רכבת,40,dhd,2026,תל אביב יפו,כרם התימנים,0.05
122,בית-ספר,30,dhd,2027,תל אביב יפו,הצפון הישן,0.03
123,בית-ספר,100,dhd,2026,תל אביב יפו,הצפון הישן,0.03
124,רכבת,70,dhd,2028,תל אביב יפו,הצפון הישן,0.05
125,קניון,100,dhd,2028,תל אביב יפו,הצפון הישן,0.04
126,אוניברסיטה,80,dhd,2029,תל אביב יפו,מונטיפיורי,0.1
127,קניון,20,dhd,2025,תל אביב יפו,הצפון הישן,0.02
128,רכבת,40,dhd,2026,תל אביב יפו,הצפון הישן,0.05
129,בית-ספר,30,dhd,2027,תל אביב יפו,הצפון הישן,0.03
130,בית-ספר,100,dhd,2026,תל אביב יפו,הצפון הישן,0.03
131,רכבת,70,dhd,2028,תל אביב יפו,לב העיר,0.05
132,קניון,100,dhd,2028,תל אביב יפו,הגוש הגדול,0.04
133,אוניברסיטה,80,dhd,2029,תל אביב יפו,לב העיר,0.1
134,קניון,20,dhd,2025,תל אביב יפו,הצפון החדש,0.02
135,רכבת,40,dhd,2026,תל אביב יפו,תל אביב,0.05
136,בית-ספר,30,dhd,2027,תל אביב יפו,נווה גנים,0.03
137,בית-ספר,100,dhd,2026,תל אביב יפו,יד אליהו,0.03
138,רכבת,70,dhd,2028,תל אביב יפו,יזנגוף,0.05
139,קניון,100,dhd,2028,תל אביב יפו,נוף העמק,0.04
140,אוניברסיטה,80,dhd,2029,תל אביב יפו,הצפון הישן,0.1
141,קניון,20,dhd,2025,תל אביב יפו,רמת אביב,0.02
142,רכבת,40,dhd,2026,תל אביב יפו,הצפון הישן,0.05
143,בית-ספר,30,dhd,2027,תל אביב יפו,נווה צדק,0.03
144,בית-ספר,100,dhd,2026,תל אביב יפו,פארק צמרת,0.03
145,רכבת,70,dhd,2028,תל אביב יפו,לב העיר,0.05
146,קניון,100,dhd,2028,תל אביב יפו,אזורי חן,0.04
147,אוניברסיטה,80,dhd,2029,תל אביב יפו,תל ברוך צפון,0.1
148,קניון,20,dhd,2025,תל אביב יפו,רמת אביב,0.02
149,רכבת,40,dhd,2026,תל אביב יפו,הצפון הישן,0.05
150,בית-ספר,30,dhd,2027,תל אביב יפו,לב העיר,0.03
151,בית-ספר,100,dhd,2026,תל אביב יפו,הצפון הישן,0.03
152,רכבת,70,dhd,2028,תל אביב יפו,ביצרון,0.05
153,קניון,100,dhd,2028,תל אביב יפו,ביצרון,0.04
154,אוניברסיטה,80,dhd,2029,תל אביב יפו,תל ברוך צפון,0.1
155,קניון,20,dhd,2025,תל אביב יפו,הצפון הישן,0.02
156,רכבת,40,dhd,2026,תל אביב יפו,הגוש הגדול,0.05
157,בית-ספר,30,dhd,2027,תל אביב יפו,מתחם פארק צמרת,0.03
158,בית-ספר,100,dhd,2026,תל אביב יפו,מתחם פארק צמרת,0.03
159,רכבת,70,dhd,2028,תל אביב יפו,הצפון החדש,0.05
160,קניון,100,dhd,2028,תל אביב יפו,תוכנית 3700,0.04
161,אוניברסיטה,80,dhd,2029,תל אביב יפו,כרם התימנים,0.1
162,קניון,20,dhd,2025,תל אביב יפו,הצפון הישן,0.02
163,רכבת,40,dhd,2026,תל אביב יפו,הצפון הישן,0.05
164,בית-ספר,30,dhd,2027,תל אביב יפו,המשתלה,0.03
165,בית-ספר,100,dhd,2026,תל אביב יפו,מתחם נגה,0.03
166,רכבת,70,dhd,2028,תל אביב יפו,איזורי חן,0.05
167,קניון,100,dhd,2028,תל אביב יפו,רוטשילד,0.04
168,אוניברסיטה,80,dhd,2029,תל אביב יפו,הצפון הישן,0.1
169,קניון,20,dhd,2025,תל אביב יפו,הר השלום,0.02
170,רכבת,40,dhd,2026,תל אביב יפו,הצפון הישן,0.05
171,בית-ספר,30,dhd,2027,תל אביב יפו,הגוש הגדול,0.03
172,בית-ספר,100,dhd,2026,תל אביב יפו,הצפון הישן,0.03
173,רכבת,70,dhd,2028,תל אביב יפו,בבלי,0.05
174,קניון,100,dhd,2028,תל אביב יפו,צהלה,0.04
175,אוניברסיטה,80,dhd,2029,תל אביב יפו,פנקס,0.1
176,קניון,20,dhd,2025,תל אביב יפו,למד החדשה,0.02
177,רכבת,40,dhd,2026,תל אביב יפו,מונטיפיורי,0.05
178,בית-ספר,30,dhd,2027,תל אביב יפו,הצפון הישן,0.03
179,בית-ספר,100,dhd,2026,תל אביב יפו,פרדס כץ,0.03
180,רכבת,70,dhd,2028,תל אביב יפו,הצפון הישן,0.05
181,קניון,100,dhd,2028,תל אביב יפו,לב העיר,0.04
182,אוניברסיטה,80,dhd,2029,תל אביב יפו,הצפון הישן,0.1
183,קניון,20,dhd,2025,תל אביב יפו,רמת אביב החדשה,0.02
184,רכבת,40,dhd,2026,תל אביב יפו,הצפון הישן,0.05
185,בית-ספר,30,dhd,2027,תל אביב יפו,יד אליהו,0.03
186,בית-ספר,100,dhd,2026,תל אביב יפו,נווה שרת,0.03
187,רכבת,70,dhd,2028,תל אביב יפו,מרכז,0.05
188,קניון,100,dhd,2028,תל אביב יפו,רמב``ם,0.04
189,אוניברסיטה,80,dhd,2029,תל אביב יפו,מרכז,0.1
190,קניון,20,dhd,2025,תל אביב יפו,נווה ים,0.02
191,רכבת,40,dhd,2026,תל אביב יפו,המשתלה,0.05
192,בית-ספר,30,dhd,2027,תל אביב יפו,לב העיר,0.03
193,בית-ספר,100,dhd,2026,תל אביב יפו,מונטיפיורי,0.03
194,רכבת,70,dhd,2028,תל אביב יפו,מרכז תל אביב,0.05
195,קניון,100,dhd,2028,תל אביב יפו,פנקס,0.04
196,אוניברסיטה,80,dhd,2029,תל אביב יפו,לב העיר,0.1
197,קניון,20,dhd,2025,תל אביב יפו,קרוב לים,0.02
198,רכבת,40,dhd,2026,תל אביב יפו,יד אליהו,0.05
199,בית-ספר,30,dhd,2027,תל אביב יפו,לסקר,0.03
200,בית-ספר,100,dhd,2026,תל אביב יפו,הבימה,0.03
201,רכבת,70,dhd,2028,תל אביב יפו,רמת אביב ג,0.05
202,קניון,100,dhd,2028,תל אביב יפו,הצפון הישן,0.04
